Type Of Business            ,                                                                     No of companies
Business Services                    ,3442
Community personal & Social Services ,1650
Trading                                ,1556
Agriculture and Allied Activities       ,912
Manufacturing (Metals & Chemicals and products thereof),889
Construction                                            ,780
Manufacturing (Machinery & Equipments)                  ,611
Manufacturing (Food stuffs)                             ,538
Finance                                                 ,439
Transport storage and Communications                   ,423
Real Estate and Renting                                 ,410
Manufacturing (Textiles)                                ,305
Manufacturing (Others)                                  ,199
Manufacturing (Paper & Paper products Publishing printingand reproduction of recorded media),154
Electricity Gas & Water companies                      ,118
Mining & Quarrying                                       ,66
Manufacturing (Wood Products)                             ,21
Manufacturing (Leather & products thereof)                ,21
Insurance                                                  ,20
,660.7368421
